URN,P8MEA,Year,RankASC,RankDESC,PercentileASC,PercentileDESC
136944,0.0,2016,1574,1932,0.45,0.55
103560,0.35,2016,480,3028,0.14,0.86
137988,0.1,2016,1198,2308,0.34,0.66
140524,0.09,2016,1238,2269,0.35,0.65
103493,0.14,2016,1072,2435,0.31,0.69
141318,-0.06,2016,1794,1713,0.51,0.49
139841,-0.19,2016,2214,1292,0.63,0.37
103539,-0.13,2016,2033,1474,0.58,0.42
103513,-0.19,2016,2214,1292,0.63,0.37
103563,-0.22,2016,2295,1212,0.65,0.35
103494,-0.24,2016,2353,1154,0.67,0.33
136908,0.12,2016,1138,2369,0.32,0.68
139047,0.43,2016,302,3206,0.09,0.91
138695,0.22,2016,825,2682,0.24,0.76
103550,-0.34,2016,2562,945,0.73,0.27
139048,-0.17,2016,2155,1352,0.61,0.39
137858,0.01,2016,1532,1975,0.44,0.56
139746,0.11,2016,1166,2342,0.33,0.67
103549,0.22,2016,825,2682,0.24,0.76
138937,-0.23,2016,2328,1180,0.66,0.34
136213,-0.15,2016,2103,1404,0.6,0.4
135907,0.22,2016,825,2682,0.24,0.76
137346,0.06,2016,1350,2156,0.39,0.61
103503,-0.28,2016,2434,1072,0.69,0.31
103483,-0.05,2016,1756,1750,0.5,0.5
103509,0.06,2016,1350,2156,0.39,0.61
103538,0.01,2016,1532,1975,0.44,0.56
137034,0.3,2016,602,2905,0.17,0.83
103518,-0.35,2016,2582,926,0.74,0.26
103522,-0.15,2016,2103,1404,0.6,0.4
137043,0.25,2016,746,2760,0.21,0.79
137045,0.58,2016,112,3394,0.03,0.97
137044,0.37,2016,435,3072,0.12,0.88
137046,0.38,2016,412,3094,0.12,0.88
137047,0.31,2016,575,2932,0.16,0.84
136152,0.31,2016,575,2932,0.16,0.84
103486,0.07,2016,1306,2201,0.37,0.63
103562,0.1,2016,1198,2308,0.34,0.66
136590,0.43,2016,302,3206,0.09,0.91
103526,-0.3,2016,2484,1022,0.71,0.29
139157,-0.6,2016,2898,608,0.83,0.17
136592,0.54,2016,148,3360,0.04,0.96
103519,0.09,2016,1238,2269,0.35,0.65
136406,-0.14,2016,2070,1437,0.59,0.41
136032,-0.26,2016,2392,1116,0.68,0.32
138141,0.39,2016,388,3118,0.11,0.89
137053,-0.28,2016,2434,1072,0.69,0.31
103497,0.27,2016,688,2819,0.2,0.8
138059,0.1,2016,1198,2308,0.34,0.66
103537,-0.07,2016,1835,1672,0.52,0.48
103534,-0.01,2016,1619,1888,0.46,0.54
103531,0.51,2016,179,3328,0.05,0.95
141835,-0.42,2016,2696,811,0.77,0.23
141668,0.34,2016,498,3008,0.14,0.86
103498,0.46,2016,254,3253,0.07,0.93
135911,-0.23,2016,2328,1180,0.66,0.34
103548,-0.27,2016,2410,1097,0.69,0.31
138137,0.1,2016,1198,2308,0.34,0.66
136778,0.4,2016,366,3142,0.1,0.9
103514,0.34,2016,498,3008,0.14,0.86
103500,0.09,2016,1238,2269,0.35,0.65
103499,0.42,2016,324,3184,0.09,0.91
139888,0.15,2016,1035,2472,0.3,0.71
142219,-0.23,2016,2328,1180,0.66,0.34
139788,-0.61,2016,2904,604,0.83,0.17
103501,0.44,2016,283,3224,0.08,0.92
139994,-0.03,2016,1694,1814,0.48,0.52
103606,-1.3,2016,3115,392,0.89,0.11
103611,-1.44,2016,3159,348,0.9,0.1
141252,-1.4,2016,3144,362,0.9,0.1
103610,-1.84,2016,3319,188,0.95,0.05
103609,-2.72,2016,3462,45,0.99,0.01
103632,-2.28,2016,3408,99,0.97,0.03
103616,-1.32,2016,3120,386,0.89,0.11
103613,-1.56,2016,3199,308,0.91,0.09
138281,-1.07,2016,3077,430,0.88,0.12
103727,-0.2,2016,2246,1260,0.64,0.36
103742,0.39,2016,388,3118,0.11,0.89
137272,0.28,2016,659,2848,0.19,0.81
139292,0.04,2016,1420,2086,0.41,0.59
103743,-0.06,2016,1794,1713,0.51,0.49
141992,-0.24,2016,2353,1154,0.67,0.33
138023,0.07,2016,1306,2201,0.37,0.63
140366,-0.56,2016,2868,640,0.82,0.18
136963,0.1,2016,1198,2308,0.34,0.66
103732,-0.19,2016,2214,1292,0.63,0.37
135335,-0.67,2016,2934,574,0.84,0.16
103733,-0.34,2016,2562,945,0.73,0.27
140248,0.65,2016,68,3438,0.02,0.98
136126,0.6,2016,95,3412,0.03,0.97
